CompanyName,Job Title,Job Source,Cleaned Primary Tech Stack,Primary Tech Stack,Secondary Tech Stacks,Phase,Applied At,Lead Created At
tyler technologies,Software Engineer,Company's Website,.NET,.NET,C#,Not Hired,6/20/2024 17:16,7/12/2024 17:15
Orchestra Health,Founding Software Engineer,LinkedIn,Node.js,React,Next.js,Interview,7/9/2024 6:44,7/12/2024 16:25
aha!,Lead Ruby on Rails Engineer,Otta,Ruby,Ruby on Rails,React and Node.js,Interview,7/8/2024 8:20,7/12/2024 16:12
whatnot,Machine Learning Scientist,workingnomads,Python,Python,SQL,Not Hired,7/3/2024 13:26,7/12/2024 15:42
culturefit,front end web developer,talent,Node.js,React,MERN and JavaScript,Interview,7/9/2024 15:29,7/12/2024 15:32
AcquisitionAI,Full Stack Engineer (TypeScript),talent,Node.js,TypeScript,React,Interview,7/9/2024 14:34,7/12/2024 15:26
"dmi (digital management, llc)",Senior Software Engineer,Web,Python,Python,React,Interview,7/9/2024 12:22,7/12/2024 15:26
Olo,"Senior Software Engineer, Ordering Scale & Performance",builtin,.NET,.NET,C#,Not Hired,6/21/2024 15:05,7/12/2024 15:21
healthequity,Software Engineer II- Innovation,Direct Web,Node.js,Node.js,JavaScript,Not Hired,7/4/2024 10:25,7/12/2024 14:54
splash,"Senior Software Engineer, Front End",LinkedIn,Node.js,React,Frontend,Interview,7/5/2024 11:53,7/12/2024 14:01
specterops,Software Engineer Backend,Glassdoor,Python,Python,PostgreSQL,Interview,6/7/2024 8:41,7/12/2024 13:58
storable,Software Engineer II 2,Indeed,Node.js,Node.js,React,Interview,7/2/2024 7:21,7/12/2024 13:00
